CNPE;Scenario;N_sim;NPV_mean_M€;NPV_median_M€;NPV_std_M€;NPV_SE_M€;NPV_2.5_percentile_M€;NPV_97.5_percentile_M€;Probability_NPV_positive;ROI_mean;ROI_std;CAPEX;OPEX;REDEVANCE;LOSS_PROD
Tricastin;S_REF;100000;-524.6650270872045;-563.0872261134227;337.67153105666097;1.0678111391353318;-1082.887773695326;255.1450090275005;0.07756;-0.5020583606957507;0.30850882747333025;1001.4981193975261;3.833388523484628;16.552772;1.4999233210932226
Tricastin;S_HARM;100000;-569.6883376957209;-604.5230318584221;324.162352622706;1.0250913659664076;-1112.1209598497267;170.1434480997356;0.05736;-0.5490519183998082;0.2882216235027446;1000.5232054422994;3.8240659196977624;12.501881;1.499757075175318
Tricastin;S_RENF;100000;-46.58092519058321;-153.44463280061169;504.3123393873235;1.594775644591787;-780.5362179045153;1168.2742780239123;0.3786;-0.0024723594436215045;0.543198261961582;1000.4656360062306;3.8229173444252256;57.47025999999999;1.500155819145703
Tricastin;S_RENF_FORT;100000;1364.7063158131377;1011.8675948292315;1064.444122346642;3.3660678685943224;27.8706444062286;3895.0614320006985;0.9793;1.475826206470594;1.2535550601107948;999.8871563727575;3.8188441504671315;179.35320999999996;1.4983236392137906
Bugey;S_REF;100000;-322.86029919607546;-376.0952346807306;239.89428147011134;0.7586123270950782;-659.612678311832;277.74254225450636;0.11027;-0.44420979894680457;0.3283080425016074;713.5397255386284;1.8423931858912512;9.359490000000001;2.751461208463377
Bugey;S_HARM;100000;-349.9309224502522;-399.4388993374968;230.7945001355736;0.7298362918684523;-676.895414885693;229.3981084384607;0.09067;-0.4823516535703299;0.3133418110883302;713.5553266032379;1.8593593680984548;7.0997325;2.750297224558033
Bugey;S_RENF;100000;-55.33062879492624;-153.06122802627235;343.3208303942128;1.085675792226076;-501.44739604206046;800.7226977480509;0.34181;-0.06313582565602548;0.49114998153790534;713.3136303859995;1.83405422303458;32.509049999999995;2.7487213578399814
Bugey;S_RENF_FORT;100000;610.4320565272683;393.87756669053533;611.0698290102362;1.932372469081981;-129.9712648389781;2079.5569857450264;0.89578;0.8843203996196137;0.8993010055631174;713.2944077948032;1.8465835257870402;89.89049999999999;2.7504986543442485
Saint-Alban;S_REF;100000;-323.354844020473;-382.25020022173203;319.26703059420123;1.0096109984763368;-794.2668799271538;464.2056701230967;0.15171;-0.3617297182799048;0.3702589320916214;849.843978755369;2.953398241940409;12.719752;2.516146570067172
Saint-Alban;S_HARM;100000;-358.28733128623725;-412.6210686676351;307.70703423263393;0.973055080230525;-816.8863033280755;400.93215835404027;0.128;-0.4050331575249149;0.3523458453999252;848.5234575808595;2.942753214653889;9.598946;2.51560365092249
Saint-Alban;S_RENF;100000;41.36359037048965;-75.42819252920455;452.9273166435986;1.4322819351020617;-573.2515399759408;1166.876161128324;0.42915;0.08065627700102602;0.5636377884750547;848.7797050052337;2.965210202889316;44.15876;2.5157078789682688
Saint-Alban;S_RENF_FORT;100000;952.2908668730986;678.4152870139368;817.8436922674871;2.5862488375670964;-63.27520681237123;2915.5883596065305;0.95605;1.1856361784894738;1.0657743091044205;849.1364943757343;2.9640511115328554;122.15752;2.5197388451810108
Golfech;S_REF;100000;234.74210626198908;168.07525256272572;238.17970222427147;0.7531903514493705;-55.446252118774616;860.4905804641825;0.90372;2.917031239508479;3.376746957632977;100.22911359711911;1.1844068531905394;0.06012359999999999;1.8666410857592297
Golfech;S_HARM;100000;233.96979532261136;167.4754306230897;237.65487696797848;0.751530708265903;-56.38329764221964;855.1862639151121;0.9039;2.8954382322224568;3.339039088311599;100.48617329789519;1.1867763505421864;0.094639;1.866537325005868
Golfech;S_RENF;100000;237.73837424385508;170.82880684015637;238.65738884163704;0.754700929168027;-52.81801397673837;859.0555001222269;0.90816;2.9388710488727217;3.3540139265608957;100.28794656877045;1.1824974519291427;0.300618;1.8667226140432587
Golfech;S_RENF_FORT;100000;240.24300117778589;172.9241792536381;239.75083048863723;0.7581586952610335;-51.600698661838045;870.3253239118067;0.91233;2.967506866484571;3.370700195895178;100.3152346005063;1.1818424706868882;0.601236;1.8657143963492802
Nogent;S_REF;100000;-27.517845836414526;-32.08388489672114;70.97899582132628;0.22445529282696483;-152.29485977570445;136.76093525941118;0.30461;-0.13061576876876577;0.8123286767861443;100.34173007616747;1.1832734753369327;0.044352;0.4500371396422641
Nogent;S_HARM;100000;-27.443309414806365;-31.999186124159337;70.54523562745241;0.2230836226560072;-151.16824722217427;136.06545517121174;0.30301;-0.13299043510961853;0.8057120444391938;100.2261262175835;1.1817980563492347;0.062832;0.45050417909851564
Nogent;S_RENF;100000;-25.082168212562628;-29.89078943559631;71.39505980630904;0.2257710026718764;-149.74161238661378;140.96088588587105;0.31762;-0.10392356346344153;0.822016021982722;100.24046184719646;1.1838492869097998;0.22176;0.449503734358413
Nogent;S_RENF_FORT;100000;-22.627333932867522;-27.778797953333527;72.1661865405568;0.2282095195167467;-148.40162111303482;147.07371747309165;0.32876;-0.07543113402661475;0.837542151336326;100.50008965440618;1.186675036423772;0.44352;0.44928725667387975
